Name	YPS606_MSN24_ETOH_REP1_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP2_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP3_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP4_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP1_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP2_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP3_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP4_R1.fastq.gz_quant	YPS606_WT_ETOH_REP1_R1.fastq.gz_quant	YPS606_WT_ETOH_REP2_R1.fastq.gz_quant	YPS606_WT_ETOH_REP3_R1.fastq.gz_quant	YPS606_WT_ETOH_REP4_R1.fastq.gz_quant	YPS606_WT_MOCK_REP1_R1.fastq.gz_quant	YPS606_WT_MOCK_REP2_R1.fastq.gz_quant	YPS606_WT_MOCK_REP3_R1.fastq.gz_quant	YPS606_WT_MOCK_REP4_R1.fastq.gz_quant
YML122C	0	0	0	0	0	0	0	13.9864	0	0	0	0	0	0	0	0
YDL178W	31.3789	26.605	37.525	30.8828	35.6051	19.8987	14.5537	9.54994	20.4819	41.6311	24.9021	26.0524	21.0951	23.7478	20.0591	16.2403
YGL158W	0	0	0	0	0	0	0	0	0	0	1.9958	0	1.37368	0	1.39329	0
YIR018C-A	0	0	0	0	539.763	0	0	0	0	0	0	0	0	0	0	0
YDR403W	0	1.87522	0	0	0	0	0	0	0	0	0	2.14232	1.30101	0	0	0
YDL169C	5.5479	0	6.28536	0	0	0	0	0	0	6.97312	30.4808	6.90925	4.1959	0	0	0
YPL233W	0	0	0	6.46441	0	12.117	0	4.56914	0	0	0	0	0	0	4.47869	4.94463
YCR077C	25.1508	26.2251	17.3442	20.5828	15.2813	19.2904	17.3455	8.5578	31.4058	13.7443	24.0316	9.53289	23.9838	23.4087	15.9379	23.1527
YBR182C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YOR388C	0	2.89691	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YOR075W	2.95981	3.22652	6.7065	6.5543	3.18169	9.21411	0	6.94902	0	7.44035	3.25232	7.37219	8.95408	2.88002	4.54097	5.01339
YPL046C	45.615	0	0	0	0	47.3342	38.0817	35.6981	59.5484	57.3332	100.246	0	0	0	0	38.6318
YOR069W	22.3851	20.0959	19.3934	13.1215	2.83095	8.19838	7.69514	7.21348	12.0329	16.5504	14.469	9.83927	2.98763	6.40634	5.05049	5.57592
YOR145C	4.07168	17.7543	13.8387	4.50822	96.2917	109.854	105.377	89.2214	0	11.1328	13.4222	5.07079	104.7	134.705	93.7019	86.2085
