ORF	SGD	GENENAME	EtOHvsMOCK.WT	EtOHvsMOCK.MSN24dd	EtOH.MSN24ddvsWT	MOCK.MSN24ddvsWT	EtOHvsWT.MSN24ddvsWT	AveExpr	F	P.Value	adj.P.Val
YDL158C	S000002317	NA	-1.98	-1.39	0.742	0.153	0.589	2.43	36	8.63e-9	0
YOR003W	S000005529	YSP3	1.2	0.547	-1.04	-0.383	-0.653	2.92	36	8.76e-9	0
YLR151C	S000004141	PCD1	2.04	1.71	-0.0935	0.241	-0.334	1.38	35.9	8.86e-9	0
YBR016W	S000000220	NA	0.805	0.608	-0.292	-0.0943	-0.197	5.34	35.9	8.91e-9	0
YPR173C	S000006377	VPS4	-0.67	-0.599	0.177	0.106	0.0712	5.8	35.9	8.93e-9	0
YOR344C	S000005871	TYE7	0.892	0.401	-0.953	-0.461	-0.491	4.49	35.9	9e-9	0
YOL117W	S000005477	RRI2	1.42	0.711	-0.507	0.202	-0.709	2.79	35.8	9.09e-9	0
YPR097W	S000006301	NA	-0.507	-0.51	0.15	0.152	-0.00228	6.28	35.8	9.09e-9	0
YFL022C	S000001872	FRS2	-0.66	-0.337	0.238	-0.0845	0.323	8.58	35.7	9.27e-9	0
YBR058C	S000000262	UBP14	0.6	0.565	-0.00874	0.0265	-0.0352	6.48	35.7	9.33e-9	0
YLR375W	S000004367	STP3	-0.658	-0.769	-0.215	-0.104	-0.111	5.98	35.7	9.38e-9	0
YDR434W	S000002842	GPI17	0.453	0.549	0.173	0.0761	0.0964	6.77	35.6	9.55e-9	0
YCR002C	S000000595	CDC10	0.402	0.583	0.153	-0.0283	0.181	6.92	35.6	9.63e-9	0
YIL115C	S000001377	NUP159	-0.82	-0.815	0.0745	0.0693	0.00512	7.18	35.5	9.91e-9	0
YBL051C	S000000147	PIN4	0.5	0.546	0.0779	0.0316	0.0463	6.84	35.5	9.96e-9	0
YJL193W	S000003729	NA	-0.672	-0.477	0.237	0.0423	0.195	5.22	35.4	1e-8	0
YDL045C	S000002203	FAD1	0.632	0.738	0.161	0.0542	0.106	4.24	35.4	1e-8	0
YPL100W	S000006021	ATG21	0.835	0.526	-0.261	0.0478	-0.309	4.46	35.4	1.01e-8	0
YJL167W	S000003703	ERG20	0.251	0.61	0.341	-0.0192	0.36	8.66	35.4	1.01e-8	0
YBL088C	S000000184	TEL1	0.399	0.547	0.171	0.0231	0.148	6.11	35.4	1.02e-8	0
YHR129C	S000001171	ARP1	-1.21	-0.877	0.325	-0.00911	0.334	3.33	35.4	1.02e-8	0
YOL089C	S000005449	HAL9	-0.934	-0.413	0.436	-0.0845	0.521	4.69	35.3	1.03e-8	0
YHR172W	S000001215	SPC97	-0.929	-0.613	0.352	0.0357	0.317	3.85	35.3	1.03e-8	0
YKL133C	S000001616	NA	1.96	1.66	0.0975	0.397	-0.299	2.47	35.3	1.04e-8	0
YBL098W	S000000194	BNA4	-0.548	-0.668	-0.102	0.0178	-0.12	5.1	35.3	1.04e-8	0
YLL001W	S000003924	DNM1	0.64	0.549	-0.0918	-9.71e-4	-0.0908	6.37	35.3	1.04e-8	0
YDR173C	S000002580	ARG82	1.34	1.01	-0.3	0.0272	-0.327	3.23	35.3	1.04e-8	0
YBR233W-A	S000007595	DAD3	-1.8	-1.18	0.723	0.0979	0.625	2.06	35.3	1.05e-8	0
YGR065C	S000003297	VHT1	-0.961	-0.425	0.451	-0.0846	0.535	4.86	35.2	1.06e-8	0
YCL029C	S000000534	BIK1	-1.04	-1.2	0.0553	0.214	-0.159	4.01	35.1	1.1e-8	0
YGL067W	S000003035	NPY1	0.446	0.643	0.159	-0.0382	0.197	5.41	35.1	1.11e-8	0
YKL128C	S000001611	PMU1	0.423	0.599	0.0962	-0.0797	0.176	6.31	35.1	1.11e-8	0
YPL029W	S000005950	SUV3	-0.865	-0.524	0.151	-0.189	0.34	4.93	35	1.11e-8	0
YNL006W	S000004951	LST8	0.872	0.381	-0.524	-0.0327	-0.492	5.01	35	1.11e-8	0
YDL138W	S000002297	RGT2	-0.454	-0.821	-0.443	-0.0758	-0.367	4.4	35	1.12e-8	0
YOR042W	S000005568	CUE5	0.763	0.545	-0.193	0.0243	-0.218	5.74	35	1.13e-8	0
YER067C-A	S000028748	NA	5.51	0.0913	-5.27	0.147	-5.41	-3.27	34.9	1.14e-8	0
YBR004C	S000000208	GPI18	-0.814	-0.822	-3.74e-5	0.00793	-0.00797	5.83	34.9	1.14e-8	0
YOR304W	S000005831	ISW2	-0.797	-0.549	0.401	0.152	0.249	5.49	34.9	1.15e-8	0
YKL109W	S000001592	HAP4	0.532	0.736	0.235	0.0307	0.204	7.2	34.9	1.16e-8	0
YDR221W	S000002629	GTB1	-0.664	-0.381	0.43	0.147	0.283	5.13	34.9	1.16e-8	0
YMR102C	S000004708	NA	0.294	-0.438	-0.757	-0.0253	-0.731	5.84	34.9	1.16e-8	0
YER044C	S000000846	ERG28	0.612	-0.161	-0.802	-0.029	-0.773	7.32	34.9	1.17e-8	0
YIL072W	S000001334	HOP1	2.95	2.09	-0.158	0.705	-0.864	1.01	34.8	1.18e-8	0
YOR356W	S000005883	CIR2	-0.759	-0.347	0.407	-0.00452	0.412	5.93	34.8	1.18e-8	0
YDR263C	S000002671	DIN7	2.28	1.63	-0.495	0.157	-0.652	1.52	34.8	1.18e-8	0
YHR068W	S000001110	DYS1	0.382	0.608	0.178	-0.0481	0.226	8.81	34.7	1.21e-8	0
YGL083W	S000003051	SCY1	-0.734	-0.308	0.332	-0.0942	0.426	5.82	34.7	1.21e-8	0
YPR100W	S000006304	MRPL51	-0.517	-0.967	-0.335	0.115	-0.45	5.27	34.7	1.23e-8	0
YNR044W	S000005327	AGA1	1.05	0.919	-0.0309	0.104	-0.135	4.53	34.6	1.24e-8	0
YMR153W	S000004762	NUP53	-0.736	-0.38	0.247	-0.108	0.356	5.24	34.6	1.25e-8	0
YHR158C	S000001201	KEL1	0.892	0.65	0.0858	0.327	-0.241	6.23	34.5	1.27e-8	0
YOR357C	S000005884	SNX3	0.826	0.773	-0.0908	-0.0373	-0.0534	4.45	34.5	1.28e-8	0
YPL112C	S000006033	PEX25	-0.807	-0.328	0.411	-0.0691	0.48	5.94	34.5	1.28e-8	0
YOL086C	S000005446	ADH1	1.08	0.816	-0.435	-0.175	-0.259	13.7	34.5	1.3e-8	0
YGL151W	S000003119	NUT1	0.624	0.706	0.247	0.165	0.082	6.43	34.4	1.31e-8	0
YNL204C	S000005148	SPS18	-1.42	-1.36	0.289	0.219	0.0692	1.81	34.4	1.31e-8	0
YJL142C	S000003678	IRC9	3.29	0.418	-2.41	0.46	-2.87	0.795	34.4	1.32e-8	0
YDR264C	S000002672	AKR1	0.515	0.449	-0.0592	0.00694	-0.0661	6.99	34.4	1.32e-8	0
YDR451C	S000002859	YHP1	0.784	1.22	0.611	0.177	0.434	3.85	34.3	1.34e-8	0
YER129W	S000000931	SAK1	-0.492	-0.554	0.031	0.0936	-0.0626	6.27	34.3	1.35e-8	0
YGL134W	S000003102	PCL10	0.741	0.742	0.0938	0.0929	8.4e-4	4.26	34.3	1.35e-8	0
YNL253W	S000005197	TEX1	0.473	0.827	0.326	-0.0284	0.354	4.48	34.3	1.36e-8	0
YLR108C	S000004098	NA	0.525	1.13	0.487	-0.119	0.606	5.14	34.3	1.37e-8	0
YJR155W	S000003916	AAD10	1.86	1.39	-0.545	-0.0759	-0.469	1.56	34.3	1.37e-8	0
YKR021W	S000001729	ALY1	0.558	0.589	-0.0628	-0.0942	0.0314	5.65	34.2	1.39e-8	0
YKL101W	S000001584	HSL1	-0.591	-0.427	0.334	0.17	0.164	6.85	34.2	1.39e-8	0
YCL017C	S000000522	NFS1	-0.485	-0.524	-0.194	-0.155	-0.0388	7.34	34.2	1.4e-8	0
YGR129W	S000003361	SYF2	-1.56	-2.14	-0.155	0.424	-0.579	1.24	34.1	1.42e-8	0
YOR270C	S000005796	VPH1	0.569	0.601	0.0113	-0.0213	0.0327	10.4	34.1	1.42e-8	0
YGL184C	S000003152	STR3	5.75	5.25	0.846	1.34	-0.497	0.0571	34	1.48e-8	0
YBR150C	S000000354	TBS1	1.19	0.745	-0.276	0.169	-0.445	4.37	33.9	1.51e-8	0
YDR167W	S000002574	TAF10	-0.966	-0.568	0.271	-0.127	0.399	4.42	33.9	1.53e-8	0
YOR231W	S000005757	MKK1	0.445	0.545	0.0273	-0.0726	0.0999	5.77	33.8	1.55e-8	0
YCL034W	S000000539	LSB5	0.591	0.541	-0.141	-0.0912	-0.0503	5.66	33.8	1.55e-8	0
YJR014W	S000003775	TMA22	-0.808	-0.481	0.365	0.038	0.327	5.87	33.8	1.56e-8	0
YMR109W	S000004715	MYO5	0.829	0.591	-0.119	0.119	-0.238	6.99	33.7	1.6e-8	0
YLR396C	S000004388	VPS33	0.417	0.774	0.331	-0.0258	0.356	4.92	33.7	1.61e-8	0
YJL084C	S000003620	ALY2	0.587	0.257	-0.327	0.00263	-0.329	5.56	33.6	1.63e-8	0
YLR045C	S000004035	STU2	-0.758	-0.472	0.43	0.144	0.286	5.17	33.6	1.64e-8	0
YMR275C	S000004888	BUL1	0.553	0.547	0.0197	0.0256	-0.00592	5.84	33.6	1.65e-8	0
YJR080C	S000003841	AIM24	0.721	0.465	-0.359	-0.103	-0.256	5.37	33.4	1.73e-8	0
YFR030W	S000001926	MET10	0.689	0.657	0.0702	0.102	-0.0316	4.95	33.4	1.73e-8	0
YLR378C	S000004370	SEC61	0.779	0.647	-0.189	-0.056	-0.133	9.7	33.4	1.75e-8	0
YPL069C	S000005990	BTS1	-0.886	-0.645	0.148	-0.0931	0.241	4.52	33.3	1.77e-8	0
YGL232W	S000003201	TAN1	-0.862	-0.676	0.216	0.0307	0.185	4.82	33.3	1.78e-8	0
YBR070C	S000000274	ALG14	0.812	0.165	-0.679	-0.0321	-0.647	4.8	33.3	1.79e-8	0
YMR302C	S000004917	YME2	0.803	0.658	-0.0195	0.126	-0.145	6.01	33.3	1.79e-8	0
YMR021C	S000004623	MAC1	-0.786	-1.03	-0.191	0.0541	-0.245	3.35	33.2	1.82e-8	0
YPR165W	S000006369	RHO1	0.438	-0.0368	-0.558	-0.0827	-0.475	8.48	33.2	1.82e-8	0
YOR381W	S000005908	FRE3	-1.05	-0.693	0.0366	-0.322	0.359	5.73	33.1	1.89e-8	0
YIL106W	S000001368	MOB1	-0.926	-0.521	0.355	-0.0501	0.405	4.73	33.1	1.89e-8	0
YLR412W	S000004404	BER1	-0.758	-0.609	0.165	0.0165	0.149	4.92	33	1.91e-8	0
YKR005C	S000001713	NA	1.22	0.934	-0.196	0.0862	-0.282	3.06	33	1.91e-8	0
YCR071C	S000000667	IMG2	-0.865	-0.683	-0.11	-0.293	0.183	4.09	33	1.95e-8	0
YFR008W	S000001904	FAR7	1.6	1.47	0.129	0.259	-0.13	2.12	32.9	1.96e-8	0
YJR042W	S000003803	NUP85	-0.634	-0.302	0.333	6.91e-4	0.332	6.57	32.9	1.98e-8	0
YER124C	S000000926	DSE1	0.652	0.735	0.0898	0.00645	0.0833	6.07	32.8	2.02e-8	0
YNL265C	S000005209	IST1	0.974	0.871	0.081	0.185	-0.104	3.97	32.8	2.02e-8	0
YDL216C	S000002375	RRI1	0.899	1.39	0.2	-0.292	0.492	2.69	32.8	2.03e-8	0
YDR283C	S000002691	GCN2	0.562	0.63	0.0968	0.0284	0.0684	5.62	32.8	2.03e-8	0
YBR147W	S000000351	RTC2	4.27	2	-2.59	-0.33	-2.26	-0.412	32.8	2.04e-8	0
YLR153C	S000004143	ACS2	-0.678	-0.132	0.553	0.00784	0.545	10	32.8	2.04e-8	0
YER046W	S000000848	SPO73	1.31	1.71	0.216	-0.185	0.401	1.82	32.7	2.08e-8	0
YNL101W	S000005045	AVT4	0.561	0.497	-0.0607	0.00321	-0.0639	6.83	32.7	2.1e-8	0
YOR191W	S000005717	ULS1	0.66	0.395	-0.146	0.119	-0.265	6	32.7	2.1e-8	0
YFR039C	S000001935	OSW7	0.466	0.638	0.293	0.12	0.172	5.84	32.7	2.12e-8	0
YML013W	S000004475	UBX2	0.634	0.431	-0.186	0.0166	-0.203	5.19	32.7	2.12e-8	0
YML034W	S000004497	SRC1	0.032	-0.825	-0.719	0.138	-0.857	5.13	32.7	2.13e-8	0
YIL049W	S000001311	DFG10	0.619	0.623	-0.00559	-0.0103	0.00474	4.55	32.6	2.17e-8	0
YIL093C	S000001355	RSM25	-0.798	-0.571	0.0639	-0.163	0.227	4.84	32.6	2.17e-8	0
YBR085W	S000000289	AAC3	-1.71	-1.58	0.0329	-0.0964	0.129	2.07	32.6	2.18e-8	0
YBR256C	S000000460	RIB5	0.773	0.376	-0.232	0.164	-0.396	5.4	32.5	2.21e-8	0
YJL199C	S000003735	MBB1	1.79	2.28	-0.239	-0.721	0.481	1.05	32.4	2.25e-8	0
YIL073C	S000001335	SPO22	3.14	2.65	-0.705	-0.224	-0.481	0.556	32.4	2.28e-8	0
YPR065W	S000006269	ROX1	-0.726	-0.729	0.268	0.271	-0.0028	5.73	32.4	2.29e-8	0
YJR052W	S000003813	RAD7	0.9	1.03	0.156	0.0286	0.127	4.11	32.3	2.34e-8	0
YOR260W	S000005786	GCD1	-0.586	-0.329	0.251	-0.00664	0.257	7.82	32.3	2.36e-8	0
YLR176C	S000004166	RFX1	0.989	0.564	-0.482	-0.0577	-0.424	4	32.3	2.37e-8	0
YFL056C	S000001838	AAD6	0.123	0.93	0.844	0.0368	0.807	4.21	32.3	2.38e-8	0
YLR390W-A	S000006429	CCW14	-0.678	-0.868	-0.301	-0.111	-0.19	8.74	32.2	2.4e-8	0
YMR094W	S000004700	CTF13	-1.07	-1.32	0.0554	0.306	-0.251	2.48	32.2	2.41e-8	0
YLL050C	S000003973	COF1	0.605	0.326	-0.29	-0.0102	-0.28	8.27	32.2	2.41e-8	0
YBL057C	S000000153	PTH2	-0.805	-0.624	0.104	-0.0766	0.181	4.96	32.2	2.41e-8	0
YLL007C	S000003930	LMO1	0.648	0.869	0.051	-0.17	0.221	4.28	32.1	2.47e-8	0
YOR250C	S000005776	CLP1	0.533	0.634	0.0225	-0.0783	0.101	5	32.1	2.49e-8	0
YMR067C	S000004671	UBX4	0.502	0.66	0.118	-0.0402	0.158	5.41	32.1	2.5e-8	0
YMR132C	S000004739	JLP2	-1.41	-0.994	0.57	0.151	0.42	2.81	32.1	2.51e-8	0
YBL090W	S000000186	MRP21	-0.783	-0.612	0.0678	-0.104	0.172	4.44	32.1	2.52e-8	0
YGR192C	S000003424	TDH3	1	0.594	-0.457	-0.0477	-0.409	15.4	32	2.54e-8	0
YDR387C	S000002795	CIN10	0.822	0.627	-0.363	-0.168	-0.195	4.98	32	2.54e-8	0
YIL150C	S000001412	MCM10	-1.42	-1.48	0.0466	0.101	-0.0549	2.64	31.9	2.62e-8	0
YBL076C	S000000172	ILS1	-0.538	-0.268	0.317	0.0462	0.271	9.99	31.9	2.63e-8	0
YOR090C	S000005616	PTC5	0.484	0.704	0.0901	-0.13	0.22	5.82	31.9	2.63e-8	0
YPL048W	S000005969	CAM1	-0.494	-0.584	-0.195	-0.105	-0.0897	7.84	31.9	2.66e-8	0
YLR466W	S000004458	YRF1-4	-2.15	-1.41	0.827	0.0879	0.739	2.65	31.9	2.66e-8	0
YOL157C	S000005517	IMA2	3.01	2.09	-0.455	0.465	-0.92	1.8	31.8	2.71e-8	0
YNL073W	S000005017	MSK1	0.629	0.223	-0.683	-0.278	-0.406	5.41	31.7	2.76e-8	0
YPL272C	S000006193	PBI1	1.62	0.92	-0.717	-0.0124	-0.705	2.81	31.7	2.78e-8	0
YGR185C	S000003417	TYS1	-0.563	-0.279	0.266	-0.0187	0.284	8.45	31.7	2.8e-8	0
YPR167C	S000006371	MET16	0.994	1.5	0.417	-0.094	0.511	2.38	31.7	2.81e-8	0
YDR377W	S000002785	ATP17	0.664	0.241	-0.456	-0.0342	-0.422	6.15	31.6	2.88e-8	0
YJL110C	S000003646	GZF3	-0.733	-0.423	0.275	-0.0352	0.31	4.6	31.6	2.88e-8	0
YPL147W	S000006068	PXA1	1.33	1.21	-0.0933	0.0214	-0.115	2.67	31.5	2.92e-8	0
YLR312W-A	S000004304	MRPL15	-0.981	-0.631	0.217	-0.133	0.349	4.64	31.5	2.92e-8	0
YGR232W	S000003464	NAS6	0.701	0.534	-0.126	0.041	-0.167	5.7	31.5	2.93e-8	0
YGL157W	S000003125	ARI1	0.603	0.473	-0.111	0.0187	-0.13	5.86	31.5	2.96e-8	0
YGL095C	S000003063	VPS45	0.45	0.665	0.284	0.0685	0.215	5.14	31.5	2.98e-8	0
YGR222W	S000003454	PET54	0.882	0.481	-0.257	0.144	-0.401	4.25	31.5	2.98e-8	0
YBR294W	S000000498	SUL1	2.28	2.55	0.131	-0.135	0.267	0.574	31.4	3.05e-8	0
YDR138W	S000002545	HPR1	0.515	0.555	0.187	0.147	0.04	5.7	31.4	3.07e-8	0
YLR091W	S000004081	GEP5	-0.987	-1.05	0.179	0.244	-0.065	3.03	31.3	3.14e-8	0
YHR201C	S000001244	PPX1	-0.643	-0.326	0.268	-0.0488	0.317	5.7	31.3	3.14e-8	0
YNL201C	S000005145	PSY2	-0.621	-0.411	0.313	0.103	0.21	5.48	31.2	3.21e-8	0
YOR084W	S000005610	LPX1	-1.36	-1.29	-0.107	-0.184	0.0768	3.1	31.2	3.21e-8	0
YNL289W	S000005233	PCL1	0.622	1.13	0.728	0.215	0.513	3.63	31.2	3.24e-8	0
YML131W	S000004600	NA	1.5	1.01	-0.405	0.0844	-0.49	3.75	31.1	3.27e-8	0
YJL159W	S000003695	HSP150	0.895	0.202	-0.857	-0.165	-0.692	10.2	31.1	3.27e-8	0
YDR524C-B	S000028739	NA	-1.47	-1.52	-0.105	-0.0526	-0.0527	8.22	31.1	3.3e-8	0
YIL001W	S000001263	NA	0.556	0.871	0.218	-0.0967	0.315	4.79	31.1	3.3e-8	0
YHR139C	S000001181	SPS100	4.7	3.1	-2.26	-0.661	-1.6	-0.732	31.1	3.31e-8	0
YDR364C	S000002772	CDC40	-0.767	-0.669	0.103	0.0052	0.0975	4.53	31.1	3.34e-8	0
YJL030W	S000003567	MAD2	0.969	0.888	0.138	0.219	-0.0811	3.93	31	3.36e-8	0
YHR055C	S000001097	CUP1-2	1.38	1.17	-0.0632	0.148	-0.211	2.58	31	3.4e-8	0
YLR361C	S000004353	DCR2	0.556	0.483	-0.0679	0.00551	-0.0734	5.21	31	3.42e-8	0
YOR149C	S000005675	SMP3	-0.716	-0.566	0.121	-0.0282	0.149	4.99	31	3.42e-8	0
YJR142W	S000003903	NA	0.416	0.71	0.389	0.0945	0.294	4.42	31	3.43e-8	0
YHR174W	S000001217	ENO2	1.1	0.705	-0.414	-0.0169	-0.397	15.1	31	3.45e-8	0
YGL166W	S000003134	CUP2	1.03	1.16	-0.0552	-0.185	0.13	3.33	30.9	3.47e-8	0
YDL046W	S000002204	NPC2	0.78	0.228	-0.603	-0.0511	-0.552	7.61	30.9	3.48e-8	0
YJL101C	S000003637	GSH1	0.2	0.697	0.449	-0.0488	0.498	6.84	30.9	3.49e-8	0
YPL060W	S000005981	MFM1	1.07	1.54	0.371	-0.107	0.477	2.74	30.9	3.49e-8	0
YNL295W	S000005239	MRX6	-0.82	-0.855	-0.0209	0.0139	-0.0348	4.05	30.9	3.51e-8	0
YEL015W	S000000741	EDC3	-0.567	-0.291	0.336	0.0607	0.276	5.93	30.9	3.51e-8	0
YHR050W	S000001092	SMF2	0.741	0.387	-0.359	-0.00577	-0.354	6.59	30.9	3.53e-8	0
YOR005C	S000005531	DNL4	0.89	0.527	-0.472	-0.108	-0.363	3.66	30.8	3.65e-8	0
YHR001W-A	S000003529	QCR10	0.521	-0.221	-0.797	-0.0555	-0.742	5.39	30.8	3.66e-8	0
YKL072W	S000001555	STB6	-1.04	-0.0146	0.991	-0.0307	1.02	3.91	30.8	3.66e-8	0
YMR042W	S000004645	ARG80	-1.33	-0.733	0.468	-0.124	0.592	3.57	30.7	3.73e-8	0
YIL139C	S000001401	REV7	0.794	0.796	0.295	0.293	0.00217	4.2	30.7	3.73e-8	0
YOL007C	S000005367	CSI2	-0.768	0.143	0.909	-0.00123	0.91	5.47	30.7	3.75e-8	0
YMR176W	S000004788	ECM5	-0.661	-0.515	0.217	0.0711	0.146	5.25	30.7	3.76e-8	0
YDR265W	S000002673	PEX10	1.04	0.9	-0.105	0.0375	-0.142	3.64	30.6	3.83e-8	0
YPR061C	S000006265	JID1	1.49	0.597	-0.814	0.0821	-0.896	2.67	30.6	3.84e-8	0
YKL204W	S000001687	EAP1	0.519	0.604	0.205	0.12	0.0851	6.21	30.6	3.85e-8	0
YDR353W	S000002761	TRR1	-0.216	-0.552	-0.417	-0.0814	-0.336	8.26	30.6	3.86e-8	0
YKL003C	S000001486	MRP17	-0.743	-0.588	-0.0288	-0.184	0.155	4.16	30.6	3.87e-8	0
YGL080W	S000003048	MPC1	0.699	0.503	-0.359	-0.162	-0.197	4.59	30.6	3.88e-8	0
YJL134W	S000003670	LCB3	0.468	0.734	0.314	0.0484	0.266	6.61	30.5	3.95e-8	0
YDL195W	S000002354	SEC31	0.567	-0.0826	-0.684	-0.0344	-0.65	9.03	30.5	3.99e-8	0
YER172C	S000000974	BRR2	-0.59	-0.458	0.195	0.0626	0.132	6.61	30.5	4e-8	0
YHR110W	S000001152	ERP5	0.622	0.171	-0.449	0.00163	-0.45	5.24	30.4	4.05e-8	0
YPL140C	S000006061	MKK2	0.679	0.841	0.0495	-0.112	0.162	4.34	30.4	4.08e-8	0
YKL114C	S000001597	APN1	-0.856	-0.68	0.202	0.0262	0.176	4.85	30.3	4.13e-8	0
YKR098C	S000001806	UBP11	0.821	-0.0308	-0.904	-0.0523	-0.852	4.26	30.2	4.28e-8	0
YJR064W	S000003825	CCT5	-0.494	-0.366	0.141	0.0132	0.128	8.13	30.2	4.3e-8	0
YIL026C	S000001288	IRR1	0.54	0.794	0.287	0.0335	0.254	5.4	30.2	4.32e-8	0
YDR023W	S000002430	SES1	-0.536	-0.376	0.192	0.0322	0.16	9.25	30.2	4.36e-8	0
YPL145C	S000006066	KES1	-0.412	-0.502	-0.14	-0.0501	-0.09	8.87	30.1	4.42e-8	0
YER034W	S000000836	NA	-1.17	-2.1	-0.516	0.417	-0.934	1.14	30.1	4.49e-8	0
YHR208W	S000001251	BAT1	-0.284	0.682	0.955	-0.0112	0.966	8.64	30	4.52e-8	0
YAL051W	S000000048	OAF1	0.602	0.529	0.0125	0.0855	-0.0729	5.45	30	4.54e-8	0
YGR256W	S000003488	GND2	2.25	0.922	-1.9	-0.578	-1.32	0.704	29.9	4.67e-8	0
YDL033C	S000002191	SLM3	-0.855	-0.634	-0.0592	-0.281	0.221	4.05	29.9	4.69e-8	0
YMR036C	S000004639	MIH1	-0.557	-0.777	-0.191	0.0291	-0.221	4	29.9	4.71e-8	0
YBR146W	S000000350	MRPS9	-0.492	-0.581	-0.226	-0.137	-0.0884	6.21	29.9	4.73e-8	0
YMR089C	S000004695	YTA12	0.547	0.696	0.185	0.0357	0.15	6.75	29.8	4.86e-8	0
YDL002C	S000002160	NHP10	-0.828	-0.753	0.17	0.0949	0.0751	4.14	29.8	4.88e-8	0
YML114C	S000004582	TAF8	-0.841	-0.524	0.364	0.0474	0.316	4.78	29.8	4.89e-8	0
YLR093C	S000004083	NYV1	0.747	0.495	-0.183	0.0687	-0.252	4.72	29.8	4.9e-8	0
YMR091C	S000004697	NPL6	-0.628	-0.465	0.343	0.18	0.163	5.5	29.8	4.91e-8	0
YGR024C	S000003256	THG1	-0.615	-0.477	0.1	-0.0386	0.139	5.46	29.7	4.97e-8	0
YJL058C	S000003594	BIT61	-0.811	-0.761	0.161	0.111	0.0499	3.45	29.7	5.04e-8	0
YGR082W	S000003314	TOM20	-0.544	-0.472	-0.142	-0.215	0.0724	7.03	29.7	5.04e-8	0
YOR158W	S000005684	PET123	-0.696	-0.677	-0.0367	-0.0559	0.0192	5.31	29.7	5.05e-8	0
YLR222C-A	S000028568	NA	-2.21	-2.12	0.446	0.361	0.0847	1.06	29.6	5.08e-8	0
YOR221C	S000005747	MCT1	0.279	0.654	0.282	-0.094	0.376	5.08	29.6	5.09e-8	0
YDL217C	S000002376	TIM22	-0.766	-0.604	0.311	0.149	0.161	4.21	29.6	5.12e-8	0
YNR075W	S000005358	COS10	1.64	1.45	0.175	0.361	-0.186	2.18	29.6	5.2100000000000003e-08	0
YGL240W	S000003209	DOC1	1.21	1.68	0.0132	-0.456	0.469	2	29.6	5.23e-8	0
YNL233W	S000005177	BNI4	-0.663	-0.655	0.0792	0.0711	0.00809	5.34	29.6	5.23e-8	0
YPR113W	S000006317	PIS1	-0.24	-0.812	-0.688	-0.116	-0.572	6.97	29.6	5.23e-8	0
YJL118W	S000003654	NA	-1.1	-1.23	-0.13	0.00738	-0.137	3.16	29.5	5.25e-8	0
YER039C-A	S000007226	NA	3.14	1.54	-0.484	1.12	-1.61	0.131	29.5	5.26e-8	0
YKL194C	S000001677	MST1	0.578	0.34	-0.349	-0.111	-0.238	5.1	29.5	5.32e-8	0
YAL063C	S000000059	FLO9	0.419	1.81	0.329	-1.06	1.39	3.14	29.5	5.32e-8	0
YBL045C	S000000141	COR1	0.00443	-0.408	-0.514	-0.101	-0.412	8.56	29.5	5.39e-8	0
YGL131C	S000003099	SNT2	-0.868	-0.36	0.632	0.124	0.508	4.27	29.4	5.42e-8	0
YMR122W-A	S000007524	NA	0.8	-0.219	-1.16	-0.146	-1.02	6.5	29.4	5.43e-8	0
YGR137W	S000003369	NA	1.35	0.978	-0.421	-0.0531	-0.368	3.51	29.4	5.48e-8	0
YGR253C	S000003485	PUP2	0.431	0.507	0.211	0.135	0.0762	6.29	29.4	5.51e-8	0
YGR201C	S000003433	NA	0.616	-1.26	-2.02	-0.141	-1.88	1.96	29.4	5.53e-8	0
YGL088W	S000003056	NA	1.39	1.6	-0.37	-0.577	0.206	2.48	29.3	5.59e-8	0
YBR073W	S000000277	RDH54	-1.38	-0.658	0.635	-0.087	0.722	2.78	29.3	5.6e-8	0
YLR439W	S000004431	MRPL4	-0.707	-0.458	-0.0711	-0.32	0.249	5.74	29.3	5.63e-8	0
YFL020C	S000001874	PAU5	2.05	1.61	-0.771	-0.331	-0.44	1.47	29.3	5.64e-8	0
YML098W	S000004564	TAF13	-1.32	-0.592	0.753	0.0283	0.725	3.11	29.3	5.68e-8	0
YDL100C	S000002258	GET3	0.363	0.433	0.0706	0.00113	0.0695	8.19	29.3	5.69e-8	0
YEL002C	S000000728	WBP1	0.362	0.43	-0.0043	-0.0721	0.0678	8.41	29.2	5.76e-8	0
YMR099C	S000004705	NA	0.432	0.462	-0.0443	-0.0745	0.0302	7.26	29.2	5.81e-8	0
YHR143W-A	S000001185	RPC10	-1.65	-1.09	0.415	-0.141	0.557	3.85	29.2	5.83e-8	0
YIL070C	S000001332	MAM33	-0.664	-0.426	0.0501	-0.187	0.237	6.16	29.2	5.85e-8	0
YDR504C	S000002912	SPG3	1.66	1.93	0.108	-0.162	0.27	2.86	29.1	6.05e-8	0
YGL212W	S000003180	VAM7	1.03	1.06	0.408	0.375	0.0327	2.67	29	6.1e-8	0
YOR213C	S000005739	SAS5	-1.01	-0.682	0.329	0.00421	0.324	3.27	29	6.23e-8	0
YML042W	S000004506	CAT2	1.81	1.34	-0.185	0.282	-0.466	1.98	29	6.23e-8	0
YNR031C	S000005314	SSK2	0.468	0.571	0.144	0.0409	0.103	5.85	28.9	6.39e-8	0
YMR068W	S000004672	AVO2	0.936	1.15	-0.0331	-0.248	0.215	3.21	28.9	6.43e-8	0
YLR260W	S000004250	LCB5	0.76	0.731	0.0938	0.123	-0.029	4.88	28.8	6.55e-8	0
