ORF	SGD	GENENAME	EtOHvsMOCK.WT	EtOHvsMOCK.MSN24dd	EtOH.MSN24ddvsWT	MOCK.MSN24ddvsWT	EtOHvsWT.MSN24ddvsWT	AveExpr	F	P.Value	adj.P.Val
YNL248C	S000005192	RPA49	-3.05	-2.47	0.539	-0.0434	0.583	6.68	647	4.45e-22	0
YDL060W	S000002218	TSR1	-3.56	-2.8	0.851	0.0931	0.758	5.88	647	4.45e-22	0
YKL181W	S000001664	PRS1	-2.23	-1.84	0.328	-0.0647	0.392	8.04	646	4.49e-22	0
YGR245C	S000003477	SDA1	-6.19	-5.39	0.916	0.119	0.798	4.87	644	4.68e-22	0
YKR081C	S000001789	RPF2	-4.24	-3.48	0.7	-0.0569	0.757	5.56	640	4.97e-22	0
YPL082C	S000006003	MOT1	-2.55	-2.34	0.239	0.0279	0.211	6.29	635	5.45e-22	0
YDR161W	S000002568	ACL4	-4.04	-3.4	0.713	0.0679	0.645	4.94	635	5.47e-22	0
YKL009W	S000001492	MRT4	-3.2	-2.44	0.674	-0.0821	0.756	6.58	628	6.21e-22	0
YGR123C	S000003355	PPT1	-2.52	-1.95	0.468	-0.096	0.564	6.13	626	6.45e-22	0
YCL059C	S000000564	KRR1	-3.7	-3.44	0.226	-0.0335	0.26	5.03	625	6.52e-22	0
YKL103C	S000001586	APE1	4.81	3.64	-1.78	-0.605	-1.17	4.65	624	6.67e-22	0
YOR243C	S000005769	PUS7	-2.49	-1.97	0.504	-0.0208	0.524	6.35	623	6.73e-22	0
YLR406C	S000004398	RPL31B	-2.59	-1.58	1.02	0.00636	1.01	7.98	623	6.8e-22	0
YDR492W	S000002900	IZH1	-4.01	-3.98	-0.00555	-0.0335	0.028	4.64	622	6.86e-22	0
YCL049C	S000000554	NA	2.42	2.05	-0.423	-0.0462	-0.377	6.38	622	6.9e-22	0
YGR177C	S000003409	ATF2	-4.03	-3.22	0.735	-0.074	0.809	4.98	620	7.08e-22	0
YLL034C	S000003957	RIX7	-3.84	-2.92	1	0.0828	0.918	5.17	618	7.39e-22	0
YOR021C	S000005547	SFM1	-2.83	-2.74	-0.0316	-0.12	0.088	5.54	614	8.03e-22	0
YPL217C	S000006138	BMS1	-3.21	-2.72	0.544	0.0571	0.487	6.19	608	8.94e-22	0
YNL134C	S000005078	NA	3.87	2.38	-1.61	-0.123	-1.49	5.98	605	9.44e-22	0
YBL075C	S000000171	SSA3	3.11	1.25	-1.75	0.107	-1.86	5.37	604	9.52e-22	0
YDR380W	S000002788	ARO10	6.02	7.17	1.2	0.0517	1.15	5.59	604	9.64e-22	0
YLR002C	S000003992	NOC3	-3.51	-2.74	0.788	0.0127	0.775	5.34	603	9.73e-22	0
YBR169C	S000000373	SSE2	6.08	3.39	-2.65	0.0346	-2.69	4.31	603	9.77e-22	0
YEL026W	S000000752	SNU13	-2.8	-2.37	0.342	-0.0883	0.43	7.93	600	1.0300000000000001e-21	0
YMR011W	S000004613	HXT2	-4.33	-4.55	-0.392	-0.169	-0.223	8.77	590	1.24e-21	0
YNL182C	S000005126	IPI3	-3.28	-2.75	0.445	-0.0823	0.527	5.67	589	1.2600000000000002e-21	0
YBR267W	S000000471	REI1	-3.83	-3.32	0.472	-0.0343	0.506	4.95	586	1.3400000000000002e-21	0
YGL169W	S000003137	SUA5	-3.55	-2.69	0.781	-0.0799	0.861	5.06	584	1.4000000000000002e-21	0
YFR015C	S000001911	GSY1	8.27	2.31	-5.98	-0.0209	-5.96	3.48	584	1.4000000000000002e-21	0
YML056C	S000004520	IMD4	-2.64	-2.33	0.208	-0.103	0.31	9.3	582	1.4400000000000001e-21	0
YDR346C	S000002754	SVF1	-1.79	-1.8	0.0117	0.0186	-0.00693	6.94	582	1.4500000000000002e-21	0
YOR294W	S000005820	RRS1	-3.91	-3.21	0.712	0.00392	0.708	4.98	582	1.46e-21	0
YPR026W	S000006230	ATH1	3.55	2.04	-1.47	0.0489	-1.51	4.86	578	1.5500000000000001e-21	0
YPR149W	S000006353	NCE102	0.743	-3.51	-4.25	0.0075	-4.25	7.34	574	1.68e-21	0
YPL075W	S000005996	GCR1	2.11	2.23	0.129	0.013	0.116	7.02	574	1.6900000000000001e-21	0
YCL054W	S000000559	SPB1	-3.93	-3.28	0.869	0.215	0.653	5.5	570	1.82e-21	0
YLR276C	S000004266	DBP9	-4.3	-3.58	0.765	0.0454	0.72	5.44	568	1.89e-21	0
YLR129W	S000004119	DIP2	-2.52	-1.99	0.515	-0.0237	0.539	6.6	567	1.92e-21	0
YOR220W	S000005746	RCN2	3.36	2.62	-0.768	-0.0214	-0.747	5.07	567	1.94e-21	0
YLR180W	S000004170	SAM1	-5.22	-3.9	1.24	-0.0779	1.32	7.87	561	2.19e-21	0
YHR052W	S000001094	CIC1	-3.09	-2.45	0.613	-0.0255	0.639	6.46	558	2.3100000000000003e-21	0
YCR057C	S000000653	PWP2	-2.98	-2.38	0.581	-0.0158	0.597	6.71	558	2.3100000000000003e-21	0
YGR214W	S000003446	RPS0A	-2.43	-1.73	0.619	-0.0799	0.699	10.2	556	2.4000000000000003e-21	0
YAL005C	S000000004	SSA1	5.03	3.09	-1.28	0.661	-1.94	10.7	556	2.41e-21	0
YOR185C	S000005711	GSP2	4.48	2.59	-2.31	-0.431	-1.88	4.3	554	2.4900000000000004e-21	0
YMR020W	S000004622	FMS1	4.47	3.87	-0.54	0.0509	-0.591	4.91	552	2.64e-21	0
YJL033W	S000003570	HCA4	-7.38	-6.01	1.42	0.0487	1.37	4.12	543	3.14e-21	0
YAL017W	S000000015	PSK1	2.53	1.75	-0.762	0.0193	-0.782	6.23	540	3.3100000000000003e-21	0
YMR139W	S000004747	RIM11	2.6	2.04	-0.628	-0.0664	-0.561	5.96	540	3.3200000000000002e-21	0
YDL146W	S000002305	LDB17	3.62	2.25	-1.53	-0.153	-1.38	6.03	537	3.53e-21	0
YIL064W	S000001326	EFM4	-3.62	-3.85	-0.368	-0.133	-0.236	4.39	535	3.6800000000000004e-21	0
YKL091C	S000001574	NA	3.96	2.44	-1.52	0.00491	-1.52	4.54	535	3.69e-21	0
YMR090W	S000004696	NA	4.99	1.69	-3.38	-0.0777	-3.3	4.31	535	3.72e-21	0
YML070W	S000004535	DAK1	2.52	1.42	-1.07	0.0311	-1.1	7.18	528	4.26e-21	0
YLR270W	S000004260	DCS1	2.76	1.36	-1.53	-0.126	-1.4	5.77	528	4.3100000000000004e-21	0
YJR059W	S000003820	PTK2	2.35	1.19	-1.15	0.00513	-1.16	6.6	527	4.4300000000000005e-21	0
YHR161C	S000001204	YAP1801	2.62	2.38	-0.0821	0.157	-0.24	5.67	523	4.790000000000001e-21	0
YGR032W	S000003264	GSC2	2.98	2.95	-0.0245	-0.00145	-0.0231	7.23	523	4.8100000000000005e-21	0
YDR324C	S000002732	UTP4	-2.33	-1.87	0.494	0.0343	0.46	6.74	522	4.84e-21	0
YML008C	S000004467	ERG6	-2.38	-2.09	0.313	0.025	0.288	7.9	522	4.9e-21	0
YPL086C	S000006007	ELP3	-2.57	-1.84	0.661	-0.0652	0.726	5.92	521	4.9400000000000004e-21	0
YNL160W	S000005104	YGP1	4.66	1.97	-3.43	-0.742	-2.69	4.67	521	4.96e-21	0
YIL069C	S000001331	RPS24B	-2.3	-1.4	0.843	-0.0633	0.906	8.8	521	5.02e-21	0
YOR293W	S000005819	RPS10A	-2.24	-1.64	0.565	-0.0351	0.601	9.5	520	5.040000000000001e-21	0
YER126C	S000000928	NSA2	-3.76	-3.4	0.287	-0.0764	0.364	5.45	520	5.09e-21	0
YLR409C	S000004401	UTP21	-2.53	-2.01	0.439	-0.0847	0.524	6.79	519	5.1800000000000006e-21	0
YDL112W	S000002270	TRM3	-2.27	-1.89	0.366	-0.0135	0.38	6.66	518	5.3700000000000006e-21	0
YMR315W	S000004932	NA	3.15	1.79	-1.54	-0.171	-1.36	6	517	5.41e-21	0
YBR084W	S000000288	MIS1	-2.27	-1.91	0.295	-0.0672	0.362	7.98	516	5.610000000000001e-21	0
YIR026C	S000001465	YVH1	-3.15	-2.94	0.0516	-0.154	0.206	5.02	514	5.860000000000001e-21	0
YLR058C	S000004048	SHM2	-2.95	-3	-0.0547	0.00153	-0.0562	7.91	513	5.8700000000000006e-21	0
YJL098W	S000003634	SAP185	-2.84	-2.71	0.232	0.102	0.131	5.28	513	5.9500000000000004e-21	0
YOR119C	S000005645	RIO1	-4.21	-3.02	1.29	0.0999	1.19	4	513	5.9500000000000004e-21	0
YLR449W	S000004441	FPR4	-4.27	-3.64	0.68	0.0482	0.632	5.85	512	6.120000000000001e-21	0
YMR054W	S000004658	STV1	1.73	1.62	-0.0884	0.0215	-0.11	7.83	511	6.230000000000001e-21	0
YLR172C	S000004162	DPH5	-1.97	-1.73	0.122	-0.119	0.241	6.62	509	6.5200000000000004e-21	0
YDR171W	S000002578	HSP42	8.05	5.72	-3.05	-0.715	-2.33	4.26	507	6.820000000000001e-21	0
YDR345C	S000002753	HXT3	-3.57	-5.99	-2.48	-0.0482	-2.43	8	506	6.910000000000001e-21	0
YBR053C	S000000257	NA	3.14	1.95	-1.5	-0.303	-1.2	5.01	505	7.02e-21	0
YJR002W	S000003762	MPP10	-2.87	-2.51	0.408	0.0494	0.359	5.72	504	7.16e-21	0
YOL010W	S000005370	RCL1	-2.81	-2.29	0.435	-0.0898	0.525	5.45	503	7.42e-21	0
YDR368W	S000002776	YPR1	2.08	2.03	-0.0737	-0.0207	-0.053	6.82	502	7.510000000000001e-21	0
