ORF	SGD	GENENAME	logFC	logCPM	F	PValue	FDR
YOL148C	S000005508	SPT20	0.06	4.8	0.153	0.699	0.814
YDL171C	S000002330	GLT1	0.06	8.44	0.261	0.614	0.751
YDR082W	S000002489	STN1	0.06	3.01	0.102	0.752	0.849
YBR097W	S000000301	VPS15	0.06	5.33	0.168	0.686	0.804
YOL147C	S000005507	PEX11	0.06	4.92	0.101	0.753	0.849
YEL063C	S000000789	CAN1	0.06	7.41	0.309	0.583	0.73
YPR073C	S000006277	LTP1	0.06	5.25	0.158	0.695	0.811
YAL012W	S000000010	CYS3	0.06	9.9	0.142	0.709	0.822
YCL004W	S000000510	PGS1	0.06	4.62	0.161	0.691	0.808
YOL063C	S000005424	CRT10	0.06	5.36	0.223	0.641	0.771
YPR074C	S000006278	TKL1	0.06	10.6	0.191	0.666	0.789
YPR176C	S000006380	BET2	0.06	5.37	0.118	0.734	0.836
YOR131C	S000005657	NA	0.06	4.76	0.184	0.672	0.794
YGL204C	S000003172	NA	0.06	2.51	0.0429	0.838	0.907
YJR102C	S000003863	VPS25	0.06	3.58	0.102	0.752	0.849
YLR234W	S000004224	TOP3	0.06	2.1	0.0238	0.879	0.932
YER012W	S000000814	PRE1	0.06	7.08	0.238	0.63	0.763
YOL112W	S000005472	MSB4	0.06	3.67	0.122	0.73	0.833
YFR051C	S000001947	RET2	0.06	8.2	0.142	0.71	0.822
YML125C	S000004594	PGA3	0.06	5.72	0.198	0.66	0.785
YOL001W	S000005361	PHO80	0.06	4.88	0.198	0.66	0.785
YLR209C	S000004199	PNP1	0.06	5.5	0.204	0.655	0.781
YGL072C	S000003040	NA	0.06	0.727	0.011	0.917	0.955
YPL031C	S000005952	PHO85	0.05	6.1	0.215	0.647	0.776
YJL219W	S000003755	HXT9	0.05	0.0631	0.00851	0.927	0.961
YKR002W	S000001710	PAP1	0.05	5.8	0.227	0.638	0.769
YNL118C	S000005062	DCP2	0.05	6.67	0.21	0.651	0.779
YDR268W	S000002676	MSW1	0.05	4.24	0.149	0.703	0.817
YPR103W	S000006307	PRE2	0.05	7.49	0.316	0.579	0.726
YLR320W	S000004312	MMS22	0.05	5.03	0.203	0.656	0.782
YOL053W	S000005414	AIM39	0.05	3.27	0.0645	0.802	0.882
YHR079C	S000001121	IRE1	0.05	5.67	0.213	0.648	0.777
YMR276W	S000004889	DSK2	0.05	6.41	0.14	0.711	0.823
YDR488C	S000002896	PAC11	0.05	2.69	0.0599	0.809	0.886
YOR106W	S000005632	VAM3	0.05	3.72	0.0924	0.764	0.855
YDL111C	S000002269	RRP42	0.05	6.45	0.266	0.611	0.749
YKL046C	S000001529	DCW1	0.05	7.23	0.266	0.61	0.749
YCL001W	S000000507	RER1	0.05	6.55	0.273	0.606	0.746
YBL051C	S000000147	PIN4	0.05	6.87	0.253	0.62	0.755
YMR217W	S000004830	GUA1	0.05	10.2	0.135	0.717	0.826
YJR131W	S000003892	MNS1	0.05	5.98	0.153	0.699	0.814
YAL033W	S000000031	POP5	0.05	3.96	0.0759	0.785	0.871
YPL242C	S000006163	IQG1	0.05	6.01	0.224	0.64	0.77
YDL088C	S000002246	ASM4	0.05	6.32	0.251	0.621	0.756
YMR264W	S000004877	CUE1	0.05	5.71	0.138	0.713	0.824
YNR040W	S000005323	NA	0.05	3.49	0.0822	0.777	0.865
YBL063W	S000000159	KIP1	0.05	4.29	0.058	0.812	0.888
YOR244W	S000005770	ESA1	0.05	4.72	0.0907	0.766	0.856
YMR190C	S000004802	SGS1	0.05	4.69	0.173	0.681	0.8
YGL011C	S000002979	SCL1	0.05	7.13	0.319	0.577	0.725
YGR175C	S000003407	ERG1	0.05	9.14	0.222	0.642	0.771
YHR108W	S000001150	GGA2	0.05	7.75	0.275	0.604	0.745
YBR179C	S000000383	FZO1	0.05	5.33	0.133	0.719	0.828
YEL034W	S000000760	HYP2	0.05	11.6	0.135	0.716	0.826
YDL203C	S000002362	ACK1	0.05	4.82	0.131	0.721	0.828
YHR114W	S000001156	BZZ1	0.05	4.89	0.092	0.764	0.855
YNL010W	S000004955	NA	0.05	7.46	0.228	0.637	0.768
YBL002W	S000000098	HTB2	0.05	8.4	0.246	0.624	0.759
YLL048C	S000003971	YBT1	0.05	8.9	0.256	0.617	0.753
YOR067C	S000005593	ALG8	0.05	7.42	0.185	0.671	0.793
YER003C	S000000805	PMI40	0.05	9.21	0.195	0.663	0.787
YDR115W	S000002522	MRX14	0.05	4.92	0.125	0.727	0.831
YOR261C	S000005787	RPN8	0.05	7.12	0.172	0.682	0.801
YHR098C	S000001140	SFB3	0.05	8.44	0.244	0.625	0.76
YBL038W	S000000134	MRPL16	0.05	4.73	0.111	0.742	0.842
YNL283C	S000005227	WSC2	0.05	7.3	0.109	0.744	0.845
YJR140C	S000003901	HIR3	0.05	5.46	0.156	0.696	0.812
YOR394W	S000005921	PAU21	0.05	-0.321	0.0018	0.966	0.983
YMR292W	S000004906	GOT1	0.05	5.7	0.0801	0.78	0.867
YNL084C	S000005028	END3	0.05	6.08	0.119	0.733	0.835
YFR048W	S000001944	RMD8	0.05	4.72	0.125	0.727	0.831
YNL273W	S000005217	TOF1	0.05	5.28	0.171	0.683	0.802
YNL284C	S000005228	MRPL10	0.05	6.16	0.163	0.69	0.807
YLL035W	S000003958	GRC3	0.05	5.29	0.0795	0.78	0.867
YCL064C	S000000569	CHA1	0.05	8.91	0.177	0.677	0.797
YHL020C	S000001012	OPI1	0.05	4.41	0.104	0.75	0.848
YMR026C	S000004628	PEX12	0.05	4.17	0.0846	0.774	0.862
YLR262C-A	S000007246	TMA7	0.05	5.57	0.0782	0.782	0.869
YNL255C	S000005199	GIS2	0.05	7.89	0.169	0.684	0.802
YFR041C	S000001937	ERJ5	0.05	5.36	0.109	0.745	0.845
YBR063C	S000000267	NA	0.05	3.72	0.0816	0.777	0.865
YKL023C-A	S000113559	NA	0.05	4.23	0.0759	0.785	0.871
YLR008C	S000003998	PAM18	0.05	5.94	0.165	0.688	0.805
YAR068W	S000000091	NA	0.05	7.72	0.045	0.835	0.905
YDL069C	S000002227	CBS1	0.05	2.75	0.0359	0.851	0.917
YER050C	S000000852	RSM18	0.05	4.19	0.093	0.763	0.855
YLR304C	S000004295	ACO1	0.05	9.49	0.0978	0.757	0.851
YMR221C	S000004834	FMP42	0.05	7.05	0.156	0.696	0.812
YDR457W	S000002865	TOM1	0.05	7.68	0.166	0.687	0.805
YML092C	S000004557	PRE8	0.05	7.34	0.208	0.652	0.779
YDR219C	S000002627	MFB1	0.05	4.1	0.0508	0.824	0.898
YER083C	S000000885	GET2	0.05	6.33	0.126	0.726	0.831
YOR006C	S000005532	TSR3	0.05	4.75	0.051	0.823	0.898
YKR070W	S000001778	NA	0.04	5.3	0.132	0.72	0.828
YCL009C	S000000515	ILV6	0.04	8.36	0.0462	0.832	0.904
YMR106C	S000004712	YKU80	0.04	3.93	0.05	0.825	0.899
YFR019W	S000001915	FAB1	0.04	5.53	0.151	0.701	0.815
YDR322W	S000002730	MRPL35	0.04	5.76	0.185	0.671	0.793
YGR033C	S000003265	TIM21	0.04	5.46	0.151	0.701	0.815
YIL078W	S000001340	THS1	0.04	9.61	0.208	0.652	0.779
YKL104C	S000001587	GFA1	0.04	8.34	0.191	0.665	0.789
YDR042C	S000002449	NA	0.04	1.42	0.00918	0.924	0.96
YER013W	S000000815	PRP22	0.04	4.51	0.0976	0.757	0.851
YLR386W	S000004378	VAC14	0.04	5.82	0.135	0.716	0.826
YLR067C	S000004057	PET309	0.04	5.04	0.133	0.719	0.828
YIR027C	S000001466	DAL1	0.04	0.953	0.00819	0.929	0.962
YPR032W	S000006236	SRO7	0.04	5.58	0.146	0.705	0.818
YCL039W	S000000544	GID7	0.04	4.73	0.0631	0.804	0.883
YGL175C	S000003143	SAE2	0.04	2.37	0.0271	0.87	0.927
YDR437W	S000002845	GPI19	0.04	1.38	0.0129	0.91	0.951
YIL083C	S000001345	CAB2	0.04	5.63	0.129	0.723	0.83
YGL119W	S000003087	COQ8	0.04	4.8	0.085	0.773	0.862
YGL233W	S000003202	SEC15	0.04	5.96	0.103	0.751	0.849
YNL040W	S000004985	NA	0.04	4.61	0.0581	0.811	0.888
YDR515W	S000002923	SLF1	0.04	4.07	0.0425	0.838	0.908
YHR214W	S000001257	NA	0.04	3.86	0.0145	0.906	0.948
YLR293C	S000004284	GSP1	0.04	9.8	0.142	0.71	0.822
YBL022C	S000000118	PIM1	0.04	7.35	0.109	0.744	0.844
YCR077C	S000000673	PAT1	0.04	6.92	0.109	0.744	0.845
YNL034W	S000004979	NA	0.04	1.97	0.0105	0.919	0.956
YLR135W	S000004125	SLX4	0.04	3.08	0.0351	0.853	0.917
YPR067W	S000006271	ISA2	0.04	4.19	0.0622	0.805	0.884
YKL034W	S000001517	TUL1	0.04	5.96	0.118	0.734	0.835
YDR492W	S000002900	IZH1	0.04	5.72	0.0678	0.797	0.879
YAL021C	S000000019	CCR4	0.04	7.03	0.148	0.704	0.818
YLR268W	S000004258	SEC22	0.04	5.98	0.132	0.72	0.828
YDL095W	S000002253	PMT1	0.04	9.58	0.091	0.765	0.856
YDL147W	S000002306	RPN5	0.04	7.51	0.102	0.752	0.849
YGL190C	S000003158	CDC55	0.04	6.37	0.0669	0.798	0.881
YIR029W	S000001468	DAL2	0.04	0.714	0.00631	0.937	0.967
YGR276C	S000003508	RNH70	0.04	5.23	0.134	0.718	0.827
YBL081W	S000000177	NA	0.04	6.5	0.0939	0.762	0.854
YBR222C	S000000426	PCS60	0.04	6.79	0.0904	0.766	0.857
YOR270C	S000005796	VPH1	0.04	10.4	0.0985	0.756	0.851
YDR545W	S000002953	YRF1-1	0.04	1.96	0.00771	0.931	0.964
YGL017W	S000002985	ATE1	0.04	4.59	0.0821	0.777	0.865
YLL006W	S000003929	MMM1	0.04	4.54	0.069	0.795	0.878
YAL010C	S000000008	MDM10	0.04	3.77	0.0424	0.838	0.908
YOR217W	S000005743	RFC1	0.04	6.47	0.102	0.752	0.849
YGR274C	S000003506	TAF1	0.04	5.22	0.0692	0.795	0.878
YDR141C	S000002548	DOP1	0.04	6.78	0.129	0.722	0.83
YHR106W	S000001148	TRR2	0.04	3.63	0.0459	0.832	0.904
YDR238C	S000002646	SEC26	0.04	8.79	0.123	0.729	0.832
YOL039W	S000005399	RPP2A	0.04	10.3	0.0599	0.809	0.886
YGL195W	S000003163	GCN1	0.04	8.82	0.0718	0.791	0.876
YMR162C	S000004772	DNF3	0.04	6.28	0.13	0.721	0.829
YGL019W	S000002987	CKB1	0.04	6.43	0.134	0.718	0.827
YHL046C	S000001038	PAU13	0.04	1.49	0.00207	0.964	0.982
YML009W-B	S000004471	NA	0.04	2.63	0.0129	0.911	0.951
YIL166C	S000001428	NA	0.04	2.14	0.0124	0.912	0.952
YKL080W	S000001563	VMA5	0.04	8.62	0.126	0.726	0.831
YKL115C	S000001598	NA	0.04	0.343	0.00299	0.957	0.978
YCR020C-A	S000000614	MAK31	0.04	2.81	0.0218	0.884	0.934
YHR163W	S000001206	SOL3	0.03	6.56	0.0862	0.772	0.861
YHR034C	S000001076	PIH1	0.03	3.29	0.027	0.871	0.927
YPL058C	S000005979	PDR12	0.03	6.85	0.0471	0.83	0.903
YAR031W	S000000078	PRM9	0.03	3.82	0.0454	0.833	0.904
YER100W	S000000902	UBC6	0.03	5.32	0.0557	0.815	0.891
YKR086W	S000001794	PRP16	0.03	5.02	0.0587	0.81	0.887
YLR405W	S000004397	DUS4	0.03	4.27	0.0485	0.828	0.901
YLR369W	S000004361	SSQ1	0.03	4.83	0.0352	0.853	0.917
YJR139C	S000003900	HOM6	0.03	9.54	0.04	0.843	0.911
YNR030W	S000005313	ALG12	0.03	7.44	0.0682	0.796	0.879
YML085C	S000004550	TUB1	0.03	8.35	0.0967	0.758	0.851
YLL053C	S000003976	NA	0.03	7.04	0.00924	0.925	0.96
YOR057W	S000005583	SGT1	0.03	5.18	0.0691	0.795	0.878
YDL006W	S000002164	PTC1	0.03	5.24	0.0719	0.791	0.876
YJR089W	S000003849	BIR1	0.03	4.15	0.0346	0.854	0.918
YKR085C	S000001793	MRPL20	0.03	5.05	0.0615	0.806	0.884
YGR029W	S000003261	ERV1	0.03	4.25	0.0591	0.81	0.887
YDR138W	S000002545	HPR1	0.03	5.73	0.0737	0.788	0.873
YPR188C	S000006392	MLC2	0.03	4.51	0.0368	0.85	0.915
YBL082C	S000000178	ALG3	0.03	6.66	0.0342	0.855	0.919
YDL007W	S000002165	RPT2	0.03	7.74	0.103	0.75	0.849
YMR099C	S000004705	NA	0.03	7.28	0.0967	0.758	0.851
YOR117W	S000005643	RPT5	0.03	7.61	0.0974	0.758	0.851
YMR269W	S000004882	TMA23	0.03	2.37	0.00918	0.924	0.96
YBL023C	S000000119	MCM2	0.03	5.63	0.0786	0.781	0.868
YNL177C	S000005121	MRPL22	0.03	5.74	0.0485	0.827	0.901
YIL121W	S000001383	QDR2	0.03	1.46	0.00625	0.938	0.967
YDR143C	S000002550	SAN1	0.03	6.79	0.0951	0.76	0.853
YGR199W	S000003431	PMT6	0.03	6.82	0.0814	0.778	0.865
YLL033W	S000003956	IRC19	0.03	2.55	0.0173	0.896	0.942
YDR183W	S000002591	PLP1	0.03	3.19	0.0221	0.883	0.934
YOR165W	S000005691	SEY1	0.03	6.79	0.113	0.739	0.84
YMR200W	S000004813	ROT1	0.03	6.4	0.0999	0.755	0.85
YAL047C	S000000045	SPC72	0.03	3.36	0.0147	0.904	0.947
YBR103W	S000000307	SIF2	0.03	4.63	0.0368	0.849	0.915
YKR021W	S000001729	ALY1	0.03	5.69	0.0648	0.801	0.882
YDR170C	S000002577	SEC7	0.03	7.46	0.0928	0.763	0.855
YJL137C	S000003673	GLG2	0.03	4.31	0.0329	0.857	0.92
YNL218W	S000005162	MGS1	0.03	3.79	0.0255	0.874	0.929
YFL041W-A	S000028547	NA	0.03	-0.381	0.00167	0.968	0.983
YOR209C	S000005735	NPT1	0.03	6.56	0.0711	0.792	0.876
YDR291W	S000002699	HRQ1	0.03	5.31	0.0643	0.802	0.882
YNL297C	S000005241	MON2	0.03	6.76	0.0693	0.795	0.878
YNL051W	S000004996	COG5	0.03	4.51	0.0339	0.855	0.919
YML017W	S000004479	PSP2	0.03	5.04	0.0183	0.894	0.94
YNL016W	S000004961	PUB1	0.03	8.32	0.0816	0.777	0.865
YGR075C	S000003307	PRP38	0.03	2.75	0.0144	0.906	0.948
YNL268W	S000005212	LYP1	0.03	7.18	0.0459	0.832	0.904
YPL024W	S000005945	RMI1	0.03	4.05	0.0301	0.864	0.923
YKL119C	S000001602	VPH2	0.03	4.41	0.036	0.851	0.917
YJR090C	S000003850	GRR1	0.03	6.08	0.0543	0.818	0.893
YFL013C	S000001881	IES1	0.03	4.49	0.0235	0.88	0.932
YDR487C	S000002895	RIB3	0.03	6.77	0.0635	0.803	0.883
YAR033W	S000000079	MST28	0.03	3.44	0.0166	0.898	0.944
YBR265W	S000000469	TSC10	0.03	5.84	0.043	0.837	0.907
YPR198W	S000006402	SGE1	0.03	6.29	0.0454	0.833	0.904
YBR205W	S000000409	KTR3	0.03	6.95	0.0717	0.791	0.876
YDL240W	S000002399	LRG1	0.03	4.58	0.0322	0.859	0.92
YOR051C	S000005577	ETT1	0.03	6.11	0.0381	0.847	0.914
YOR114W	S000005640	NA	0.03	2.76	0.00734	0.932	0.965
YPL010W	S000005931	RET3	0.03	7.28	0.0666	0.799	0.881
YAL023C	S000000021	PMT2	0.03	10	0.0406	0.842	0.91
YER021W	S000000823	RPN3	0.02	7.94	0.0531	0.82	0.895
YGL181W	S000003149	GTS1	0.02	5.18	0.0468	0.83	0.903
YML109W	S000004577	ZDS2	0.02	4.51	0.027	0.871	0.927
YJL096W	S000003632	MRPL49	0.02	5.05	0.037	0.849	0.915
YMR083W	S000004688	ADH3	0.02	8.75	0.0453	0.833	0.904
YLR020C	S000004010	YEH2	0.02	5.96	0.0444	0.835	0.905
YPL167C	S000006088	REV3	0.02	3.51	0.0145	0.905	0.948
YKL145W	S000001628	RPT1	0.02	7.34	0.0589	0.81	0.887
YLR208W	S000004198	SEC13	0.02	7.65	0.0625	0.805	0.884
YCL005W	S000000511	LDB16	0.02	4.75	0.0261	0.873	0.928
YGR171C	S000003403	MSM1	0.02	4.76	0.0264	0.872	0.928
YMR115W	S000004721	MGR3	0.02	5.01	0.0172	0.897	0.942
YIL020C	S000001282	HIS6	0.02	5.02	0.0339	0.855	0.919
YHR074W	S000001116	QNS1	0.02	7.37	0.0434	0.837	0.907
YGL116W	S000003084	CDC20	0.02	4.77	0.0244	0.877	0.931
YLR168C	S000004158	UPS2	0.02	4.95	0.0238	0.879	0.932
YNL146W	S000005090	NA	0.02	1.45	0.00391	0.951	0.975
YPL096W	S000006017	PNG1	0.02	4.02	0.0225	0.882	0.934
YKR019C	S000001727	IRS4	0.02	2.77	0.00834	0.928	0.962
YPL181W	S000006102	CTI6	0.02	4.54	0.013	0.91	0.951
YGR028W	S000003260	MSP1	0.02	5.66	0.0392	0.845	0.912
YPL008W	S000005929	CHL1	0.02	4.37	0.0219	0.883	0.934
YPR049C	S000006253	ATG11	0.02	4.3	0.0183	0.894	0.94
YBR011C	S000000215	IPP1	0.02	10.3	0.0327	0.858	0.92
YMR225C	S000004838	MRPL44	0.02	3.39	0.00845	0.927	0.961
YCR005C	S000000598	CIT2	0.02	8.36	0.0149	0.904	0.947
YDR386W	S000002794	MUS81	0.02	3.19	0.0108	0.918	0.956
YGR165W	S000003397	MRPS35	0.02	6.21	0.0402	0.843	0.911
YPR139C	S000006343	LOA1	0.02	5.75	0.0146	0.905	0.947
YEL017C-A	S000002103	PMP2	0.02	5.93	0.00221	0.963	0.982
YOR109W	S000005635	INP53	0.02	7	0.0248	0.876	0.93
YJL004C	S000003541	SYS1	0.02	5.06	0.0236	0.879	0.932
YOL106W	S000005466	NA	0.02	2.79	0.00652	0.936	0.966
YER153C	S000000955	PET122	0.02	0.495	0.0011	0.974	0.986
YML002W	S000004461	NA	0.02	4.67	0.0113	0.916	0.954
YKL105C	S000001588	SEG2	0.02	5.32	0.0124	0.912	0.952
YDR443C	S000002851	SSN2	0.02	5.61	0.0227	0.882	0.934
YCR042C	S000000638	TAF2	0.02	5.41	0.0154	0.902	0.946
YDR407C	S000002815	TRS120	0.02	6.45	0.0282	0.868	0.925
YOL049W	S000005409	GSH2	0.02	7.12	0.0292	0.866	0.924
YAL019W	S000000017	FUN30	0.02	6.02	0.0186	0.893	0.94
YHR155W	S000001198	LAM1	0.02	5.99	0.0236	0.879	0.932
YNR013C	S000005296	PHO91	0.02	7.77	0.0219	0.884	0.934
YMR289W	S000004902	ABZ2	0.02	3.55	0.00667	0.936	0.966
YDL053C	S000002211	PBP4	0.02	4.69	0.0129	0.91	0.951
YGR231C	S000003463	PHB2	0.02	6.5	0.0163	0.899	0.944
YLR047C	S000004037	FRE8	0.02	5.77	0.019	0.891	0.939
YPL139C	S000006060	UME1	0.02	5.75	0.0224	0.882	0.934
YPR140W	S000006344	TAZ1	0.02	5.31	0.0201	0.888	0.937
YGL129C	S000003097	RSM23	0.02	6.43	0.0229	0.881	0.934
YHR152W	S000001195	SPO12	0.02	3.23	0.00481	0.945	0.971
YBR193C	S000000397	MED8	0.02	4.21	0.00762	0.931	0.964
YPL023C	S000005944	MET12	0.02	6.45	0.0305	0.863	0.922
YOL052C	S000005412	SPE2	0.02	6.57	0.0243	0.877	0.931
YLR044C	S000004034	PDC1	0.02	14.4	0.00657	0.936	0.966
YPL189W	S000006110	GUP2	0.02	3.15	0.00477	0.945	0.971
YKL096W-A	S000001956	CWP2	0.02	8.41	0.0061	0.939	0.967
YPL005W	S000005926	AEP3	0.02	3.71	0.00704	0.934	0.966
YGR257C	S000003489	MTM1	0.02	5.16	0.0146	0.905	0.947
YJR105W	S000003866	ADO1	0.02	9.05	0.00862	0.927	0.961
YCL056C	S000000561	PEX34	0.01	2.91	0.00551	0.941	0.969
YOR110W	S000005636	TFC7	0.01	4.75	0.0103	0.92	0.957
YBR231C	S000000435	SWC5	0.01	3.03	0.00393	0.951	0.975
YDR389W	S000002797	SAC7	0.01	5.73	0.0115	0.915	0.954
YMR114C	S000004720	NA	0.01	2.42	0.00224	0.963	0.981
YNL185C	S000005129	MRPL19	0.01	5.53	0.0114	0.916	0.954
YLR016C	S000004006	PML1	0.01	3.75	0.00641	0.937	0.966
YDR266C	S000002674	HEL2	0.01	6.76	0.016	0.9	0.944
YDL028C	S000002186	MPS1	0.01	4.84	0.00729	0.933	0.965
YOR286W	S000005812	RDL2	0.01	5.91	0.0147	0.905	0.947
YGR133W	S000003365	PEX4	0.01	2.98	0.00374	0.952	0.975
YDL010W	S000002168	GRX6	0.01	5.12	0.0064	0.937	0.966
YOL024W	S000005384	NA	0.01	1.97	0.0018	0.966	0.983
YBL008W	S000000104	HIR1	0.01	4.79	0.00697	0.934	0.966
YBR014C	S000000218	GRX7	0.01	4.79	0.00704	0.934	0.966
YBR044C	S000000248	TCM62	0.01	5.39	0.0121	0.913	0.953
YPR170W-B	S000028515	NA	0.01	6.05	0.00618	0.938	0.967
YOL095C	S000005455	HMI1	0.01	4.31	0.0046	0.946	0.972
YER089C	S000000891	PTC2	0.01	6.8	0.00955	0.923	0.959
YGR217W	S000003449	CCH1	0.01	5.87	0.0123	0.913	0.952
YJR112W-A	S000028513	NA	0.01	2.91	0.00297	0.957	0.978
YOR064C	S000005590	YNG1	0.01	3.73	0.00383	0.951	0.975
YOR158W	S000005684	PET123	0.01	5.36	0.0058	0.94	0.968
YLR199C	S000004189	PBA1	0.01	5.67	0.0106	0.919	0.956
YGR020C	S000003252	VMA7	0.01	6.54	0.00819	0.929	0.962
YJL053W	S000003589	PEP8	0.01	5.58	0.00669	0.935	0.966
YNR052C	S000005335	POP2	0.01	6.32	0.00907	0.925	0.96
YBL067C	S000000163	UBP13	0.01	6.24	0.00879	0.926	0.961
YOL036W	S000005396	NA	0.01	6.84	0.00921	0.924	0.96
YNL108C	S000005052	NA	0.01	6.28	0.00852	0.927	0.961
YPR166C	S000006370	MRP2	0.01	4.49	0.00377	0.952	0.975
YHR035W	S000001077	NEL1	0.01	4.01	0.00294	0.957	0.978
YDR097C	S000002504	MSH6	0.01	5.48	0.00452	0.947	0.972
YKL074C	S000001557	MUD2	0.01	4.55	0.00365	0.952	0.975
YKL143W	S000001626	LTV1	0.01	5.58	0.00114	0.973	0.986
YLR052W	S000004042	IES3	0.01	4.37	0.00288	0.958	0.978
YGL058W	S000003026	RAD6	0.01	5.02	0.00488	0.945	0.971
YDR056C	S000002463	EMC10	0.01	5.62	0.00648	0.936	0.966
YNL024C-A	S000028698	KSH1	0.01	4.16	0.00201	0.965	0.982
YOR172W	S000005698	YRM1	0.01	5.38	0.00296	0.957	0.978
YKR051W	S000001759	NA	0.01	4.99	0.0039	0.951	0.975
YMR191W	S000004803	SPG5	0.01	6.77	0.00371	0.952	0.975
YOR154W	S000005680	SLP1	0.01	4.93	0.00173	0.967	0.983
YDR205W	S000002613	MSC2	0.01	6.29	0.00363	0.952	0.975
YOL005C	S000005365	RPB11	0.01	5.09	0.00236	0.962	0.981
YGL212W	S000003180	VAM7	0.01	2.84	8.35e-4	0.977	0.988
YMR183C	S000004795	SSO2	0.01	6.24	0.00329	0.955	0.977
YEL072W	S000000798	RMD6	0.01	2.27	4.6e-4	0.983	0.99
YKL195W	S000001678	MIA40	0.01	5.95	5.64e-4	0.981	0.99
YKL173W	S000001656	SNU114	0.01	5.61	0.00194	0.965	0.982
YOR337W	S000005864	TEA1	0.01	4.98	0.00215	0.963	0.982
YDR493W	S000002901	MZM1	0.01	3.27	7.29e-4	0.979	0.989
YDR034C	S000002441	LYS14	0.01	5.48	0.00235	0.962	0.981
YER080W	S000000882	AIM9	0.01	6.11	0.00143	0.97	0.984
YMR236W	S000004849	TAF9	0.01	4.55	0.0012	0.973	0.986
YOR164C	S000005690	GET4	0.01	6.22	0.00255	0.96	0.98
YHR101C	S000001143	BIG1	0	4.52	0.00104	0.975	0.987
YMR038C	S000004641	CCS1	0	5.15	0.001	0.975	0.987
YNL314W	S000005258	DAL82	0	2.95	5.56e-4	0.981	0.99
YER047C	S000000849	SAP1	0	5.16	0.00128	0.972	0.985
YIL115C	S000001377	NUP159	0	7.25	7.15e-4	0.979	0.989
YPL215W	S000006136	CBP3	0	5.5	0.00144	0.97	0.984
YAL044W-A	S000007586	BOL1	0	3.49	5.1e-4	0.982	0.99
YLR265C	S000004255	NEJ1	0	2.42	2.35e-4	0.988	0.993
YBL003C	S000000099	HTA2	0	7.41	4.89e-4	0.983	0.99
YLR107W	S000004097	REX3	0	4.18	8.03e-4	0.978	0.988
YML007W	S000004466	YAP1	0	6.76	0.00163	0.968	0.983
YDR176W	S000002583	NGG1	0	4.42	3.5e-4	0.985	0.991
YOR275C	S000005801	RIM20	0	5.05	8.96e-4	0.976	0.988
YGL134W	S000003102	PCL10	0	4.33	5.61e-4	0.981	0.99
YDR028C	S000002435	REG1	0	6.62	8.31e-4	0.977	0.988
YIL049W	S000001311	DFG10	0	4.6	5.94e-4	0.981	0.99
YJR050W	S000003811	ISY1	0	3.08	1.56e-4	0.99	0.994
YBR091C	S000000295	TIM12	0	3.64	2.78e-4	0.987	0.992
YDR017C	S000002424	KCS1	0	6.3	6.77e-4	0.979	0.989
YDR524C-B	S000028739	NA	0	8.46	4.14e-5	0.995	0.997
YPR114W	S000006318	NA	0	7	4.8e-4	0.983	0.99
YPL118W	S000006039	MRP51	0	6.14	3.92e-4	0.984	0.991
YJR009C	S000003769	TDH2	0	14	2.07e-4	0.989	0.993
YDR402C	S000002810	DIT2	0	0.631	4.8e-5	0.995	0.997
YPR051W	S000006255	MAK3	0	3.51	1.02e-4	0.992	0.996
YGR005C	S000003237	TFG2	0	5.17	1.07e-4	0.992	0.996
YBL040C	S000000136	ERD2	0	6.98	2.67e-4	0.987	0.992
YPR192W	S000006396	AQY1	0	0.295	1.61e-5	0.997	0.998
YGL164C	S000003132	YRB30	0	3.41	5.17e-5	0.994	0.997
YDR073W	S000002480	SNF11	0	3.61	5.89e-5	0.994	0.997
YGL144C	S000003112	ROG1	0	3.72	5.33e-5	0.994	0.997
YNL005C	S000004950	MRP7	0	6.32	1.09e-4	0.992	0.996
YEL020C	S000000746	PXP1	0	4.1	2.76e-5	0.996	0.997
YER114C	S000000916	BOI2	0	6.64	4.36e-5	0.995	0.997
YDR326C	S000002734	YSP2	0	7.44	2.88e-5	0.996	0.997
YNL233W	S000005177	BNI4	0	5.38	7.38e-6	0.998	0.999
YML038C	S000004502	YMD8	-0	5.92	3.52e-7	1	1
YCR017C	S000000610	CWH43	-0	8.39	1.08e-6	0.999	1
YER088C-A	S000028754	NA	-0	3.76	1.13e-5	0.997	0.998
YJL131C	S000003667	AIM23	-0	3.7	1.57e-5	0.997	0.998
YPR082C	S000006286	DIB1	-0	4.45	7.68e-5	0.993	0.996
YBR260C	S000000464	RGD1	-0	5.47	1.45e-4	0.99	0.995
YEL021W	S000000747	URA3	-0	5.86	1.75e-4	0.99	0.994
YIL139C	S000001401	REV7	-0	4.29	9.52e-5	0.992	0.996
YEL052W	S000000778	AFG1	-0	5.82	3.14e-4	0.986	0.992
YLR347C	S000004339	KAP95	-0	8.02	3.49e-4	0.985	0.991
YNL083W	S000005027	SAL1	-0	4.58	2.93e-4	0.986	0.992
YBR254C	S000000458	TRS20	-0	3.96	1.61e-4	0.99	0.994
YOL031C	S000005391	SIL1	-0	6.66	4.12e-4	0.984	0.991
YNL157W	S000005101	IGO1	-0	4.96	3.86e-4	0.984	0.991
YOR330C	S000005857	MIP1	-0	5.06	3.6e-4	0.985	0.991
