ORF	SGD	GENENAME	logFC	logCPM	F	PValue	FDR
YBR210W	S000000414	ERV15	0.24	4.66	2.64	0.117	0.243
YPR072W	S000006276	NOT5	0.24	6.66	3.35	0.0793	0.185
YJL080C	S000003616	SCP160	0.24	9.08	6	0.0216	0.0702
YIL070C	S000001332	MAM33	0.24	6.19	3.88	0.06	0.152
YFL046W	S000001848	FMP32	0.24	3.05	1.3	0.265	0.433
YDR448W	S000002856	ADA2	0.24	3.85	2.05	0.165	0.311
YJL180C	S000003716	ATP12	0.24	5.28	3.44	0.0753	0.178
YLL042C	S000003965	ATG10	0.24	1.77	0.541	0.469	0.635
YPL148C	S000006069	PPT2	0.24	1.84	0.52	0.477	0.643
YPR071W	S000006275	NA	0.24	3.83	1.72	0.201	0.357
YDL243C	S000002402	AAD4	0.24	3.52	1.75	0.197	0.353
YDR299W	S000002707	BFR2	0.24	5.3	0.775	0.39	0.568
YDL176W	S000002335	NA	0.24	3.79	1.4	0.248	0.414
YMR296C	S000004911	LCB1	0.24	8.01	3.93	0.0586	0.15
YKR003W	S000001711	OSH6	0.24	5.95	3.39	0.0773	0.182
YEL057C	S000000783	SDD1	0.24	0.418	0.226	0.639	0.769
YNL250W	S000005194	RAD50	0.24	3.88	1.43	0.243	0.409
YIL074C	S000001336	SER33	0.24	6.95	6.04	0.0213	0.0692
YGR004W	S000003236	PEX31	0.24	5.16	3.58	0.0699	0.17
YOL152W	S000005512	FRE7	0.24	1.87	0.201	0.659	0.784
YLR039C	S000004029	RIC1	0.24	5.33	2.88	0.102	0.221
YKR102W	S000001810	FLO10	0.23	4.88	2.01	0.168	0.315
YGR141W	S000003373	VPS62	0.23	4.03	1.87	0.184	0.336
YKR010C	S000001718	TOF2	0.23	4.52	2.02	0.168	0.315
YHR150W	S000001193	PEX28	0.23	3.47	1.3	0.265	0.433
YGL130W	S000003098	CEG1	0.23	5.24	3.13	0.089	0.201
YGR156W	S000003388	PTI1	0.23	4.77	3.01	0.0949	0.209
YER058W	S000000860	PET117	0.23	2.06	0.54	0.469	0.635
YIL039W	S000001301	TED1	0.23	7.14	6.53	0.017	0.0581
YIR011C	S000001450	STS1	0.23	5.17	4.21	0.0507	0.134
YKL054C	S000001537	DEF1	0.23	7.77	3.99	0.0568	0.146
YML069W	S000004534	POB3	0.23	6.49	4.09	0.054	0.14
YGR113W	S000003345	DAM1	0.23	3.92	1.7	0.204	0.361
YGR072W	S000003304	UPF3	0.23	3.74	1.04	0.317	0.494
YKL159C	S000001642	RCN1	0.23	2.47	0.821	0.374	0.552
YDR295C	S000002703	HDA2	0.23	4.57	2.22	0.149	0.29
YIR033W	S000001472	MGA2	0.23	6.09	4.31	0.0484	0.129
YLR357W	S000004349	RSC2	0.23	5.87	4.59	0.042	0.116
YER068W	S000000870	MOT2	0.23	6.38	4.75	0.0388	0.109
YDR428C	S000002836	BNA7	0.23	4.02	2.28	0.144	0.282
YMR270C	S000004883	RRN9	0.23	4.08	1.53	0.227	0.39
YJL014W	S000003551	CCT3	0.23	7.93	5.48	0.0274	0.0844
YDL066W	S000002224	IDP1	0.23	7.95	3.84	0.0611	0.154
YDR476C	S000002884	NA	0.23	5.96	0.933	0.348	0.526
YOL021C	S000005381	DIS3	0.23	7.11	5.56	0.0265	0.082
YBL034C	S000000130	STU1	0.23	5.65	4.18	0.0515	0.136
YGL223C	S000003191	COG1	0.23	5.1	2.93	0.099	0.217
YDL092W	S000002250	SRP14	0.23	5.26	2.02	0.168	0.315
YMR224C	S000004837	MRE11	0.23	4.06	2.38	0.135	0.272
YER168C	S000000970	CCA1	0.23	6.05	5.12	0.0325	0.0957
YPL144W	S000006065	POC4	0.23	4.27	1.66	0.209	0.368
YNL232W	S000005176	CSL4	0.23	5.73	3.7	0.0657	0.163
YIL093C	S000001355	RSM25	0.23	4.89	2.68	0.114	0.24
YKL112W	S000001595	ABF1	0.23	6.33	2.82	0.106	0.227
YHR012W	S000001054	VPS29	0.23	5.69	3.61	0.0688	0.168
