ORF	GENENAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SGD
YDL215C	GDH2	1611.0239536137758	-0.8913871787797478	0.11885083064004884	-7.500050054167477	6.379346845437129e-14	1.784312834081967e-12	S000002374
YLR127C	APC2	320.582154222418	0.06808238321602814	0.1424502465206007	0.4779379810071601	0.6326943474991988	0.7710139438274634	S000004117
YMR055C	BUB2	134.71871648047738	-0.1572506362245081	0.1985166251255551	-0.792128297189479	0.4282858719454232	0.6109273553962393	S000004659
YCR038C	BUD5	134.88807906838989	-0.10324548601777402	0.19988208860374945	-0.5165319551090447	0.6054829264565049	0.755214540739548	S000000634
YJR145C	RPS4A	27649.433339433708	0.3042017807591147	0.13389491836774844	2.271944181806891	0.023089881905440358	0.07272342637108442	S000003906
YDR205W	MSC2	1077.9574171384513	-0.004712822142854584	0.12903066505882355	-0.03652482253506222	0.9708638863907416	0.9852879717630532	S000002613
YGL201C	MCM6	863.7331988255631	0.2152616799263024	0.12230847918280695	1.759989833612141	0.07840953032912734	0.18662928853105584	S000003169
YPR063C	NA	1380.5923467729656	-0.11592686699691876	0.11049794127750281	-1.0491314648639636	0.294117616272544	0.4744660468567734	S000006267
YJR058C	APS2	254.97265217263646	-0.5215812147359923	0.1755457114236378	-2.971198843344456	0.002966396492285493	0.01306981275832997	S000003819
YJL116C	NCA3	35.98065012618329	-0.3413136450369074	0.4689738179250009	-0.7277882730150426	0.4667432042516047	0.6454805032790789	S000003652
YOR034C	AKR2	826.4170568293366	-0.44522078233880835	0.12189600527869156	-3.652464092821561	2.5973592424581593e-4	0.0015650968554233409	S000005560
YKL170W	MRPL38	360.0380099549793	-0.0419678225347995	0.13791750487118862	-0.3042965617308431	0.7609019643798868	0.8619364988401619	S000001653
YIL049W	DFG10	330.4495863508037	-0.009906465679202467	0.13471271909875404	-0.07353771600393813	0.9413782322760849	0.9703755815651172	S000001311
YIL014C-A	NA	15.209890860178191	-0.28904021569080635	0.8235694387225391	-0.3509603466334842	0.7256180972630785	0.8374568040805093	S000003536
YPR085C	ASA1	198.310278313184	-0.1539531137636137	0.1990951808367056	-0.7732638887421558	0.4393662224194184	0.621256766207739	S000006289
YDR170C	SEC7	2418.394251324924	0.016509905159645913	0.09446487838981137	0.1747729467402417	0.861258046501332	0.9224974137980025	S000002577
YGL116W	CDC20	376.2842253157845	0.009965906432228567	0.15202595038023822	0.06555398211491155	0.9477329272121949	0.9730966388474644	S000003084
YMR214W	SCJ1	1064.5605389594966	-0.03488659384018683	0.11297355649609274	-0.3088031829943621	0.7574712477280335	0.8606514459836307	S000004827
YGR080W	TWF1	834.2975022072976	-0.25351096532171313	0.12025322582850738	-2.1081427427422534	0.035018644196983355	0.10090969639950817	S000003312
YML079W	NA	426.7528271800562	-0.21652810691687616	0.12349899375802172	-1.7532783088187054	0.0795542469332488	0.18887414537952904	S000004544
