ORF	SGD	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
YCR017C	S000000610	CWH43	-0.00616	8.35	-0.0525	0.959	0.97	-7.86
YGL179C	S000003147	TOS3	0.0163	2.28	0.0524	0.959	0.97	-6.71
YHR027C	S000001069	RPN1	-0.00488	8.5	-0.0522	0.959	0.97	-7.86
YCL045C	S000000550	EMC1	-0.0049	8.36	-0.0546	0.957	0.97	-7.86
YLR424W	S000004416	SPP382	-0.0104	3.46	-0.0545	0.957	0.97	-7.26
YOR330C	S000005857	MIP1	0.0075	5.02	0.0543	0.957	0.97	-7.63
YBR201C-A	S000087085	NA	0.0358	-0.555	0.0543	0.957	0.97	-6.08
YMR269W	S000004882	TMA23	0.022	1.85	0.0541	0.957	0.97	-6.63
YMR275C	S000004888	BUL1	-0.00592	5.84	-0.053900000000000003	0.957	0.97	-7.76
YMR295C	S000004910	NA	-0.00549	6.41	-0.053900000000000003	0.958	0.97	-7.83
YGL144C	S000003112	ROG1	-0.00959	3.69	-0.0538	0.958	0.97	-7.32
YDR515W	S000002923	SLF1	0.0117	4.05	0.0562	0.956	0.97	-7.41
YGL102C	S000003070	NA	-0.048	2.27	-0.0566	0.955	0.97	-6.88
YNL157W	S000005101	IGO1	-0.00748	4.93	-0.0584	0.954	0.97	-7.61
YDL008W	S000002166	APC11	0.0123	3.36	0.0577	0.955	0.97	-7.21
YDR017C	S000002424	KCS1	0.00629	6.29	0.0575	0.955	0.97	-7.82
YNL233W	S000005177	BNI4	0.00809	5.34	0.0574	0.955	0.97	-7.69
YJR112W-A	S000028513	NA	0.0119	2.87	0.0573	0.955	0.97	-7.08
YOR164C	S000005690	GET4	0.00578	6.21	0.0573	0.955	0.97	-7.81
YLR347C	S000004339	KAP95	-0.00614	7.99	-0.0571	0.955	0.97	-7.87
YDR423C	S000002831	CAD1	0.022	1.6	0.0589	0.954	0.97	-6.66
YMR183C	S000004795	SSO2	0.00709	6.19	0.0604	0.952	0.97	-7.81
YGR005C	S000003237	TFG2	-0.0106	5.14	-0.0611	0.952	0.97	-7.66
YKL096W-A	S000001956	CWP2	0.0118	8.19	0.0627	0.951	0.97	-7.86
YLR044C	S000004034	PDC1	0.0122	14.3	0.063	0.95	0.97	-7.56
YLR265C	S000004255	NEJ1	0.0231	1.86	0.0639	0.95	0.97	-6.6
YNR052C	S000005335	POP2	0.00657	6.29	0.0638	0.95	0.97	-7.81
YEL052W	S000000778	AFG1	-0.00664	5.78	-0.0646	0.949	0.97	-7.75
YGL226W	S000003195	MTC3	0.0143	2.88	0.0653	0.949	0.97	-7.08
YML043C	S000004507	RRN11	0.0194	3.42	0.0653	0.949	0.97	-6.99
YLR226W	S000004216	BUR2	-0.0117	4.4	-0.0662	0.948	0.97	-7.5
YBL003C	S000000099	HTA2	0.0113	7.31	0.0662	0.948	0.97	-7.87
YFL003C	S000001891	MSH4	-0.0334	0.511	-0.066	0.948	0.97	-6.33
YDR223W	S000002631	CRF1	-0.0275	0.923	-0.0667	0.947	0.97	-6.44
YAR068W	S000000091	NA	0.0133	7.28	0.0673	0.947	0.97	-7.84
YDR287W	S000002695	INM2	-0.0132	3.29	-0.0678	0.947	0.97	-7.2
YLR163C	S000004153	MAS1	-0.00721	5.9	-0.0687	0.946	0.97	-7.78
YBR014C	S000000218	GRX7	0.0101	4.66	0.0689	0.946	0.97	-7.53
YIL153W	S000001415	RRD1	-0.0111	5.17	-0.0691	0.945	0.97	-7.66
YKL221W	S000001704	MCH2	-0.0791	-1.76	-0.0694	0.945	0.97	-5.78
YDR034C	S000002441	LYS14	0.00762	5.47	0.0698	0.945	0.97	-7.71
YBR044C	S000000248	TCM62	0.0075	5.36	0.0707	0.944	0.97	-7.69
YGL175C	S000003143	SAE2	0.0182	2.3	0.0705	0.944	0.97	-6.89
YLR154W-B	S000028563	NA	0.062	-0.297	0.0722	0.943	0.97	-6.12
YNL236W	S000005180	SIN4	-0.00746	6.54	-0.0719	0.943	0.97	-7.83
YDR493W	S000002901	MZM1	0.0144	3.2	0.0719	0.943	0.97	-7.18
YEL019C	S000000745	MMS21	0.0208	2.15	0.0718	0.943	0.97	-6.85
YNL199C	S000005143	GCR2	-0.0107	5.22	-0.0717	0.943	0.97	-7.67
YOR062C	S000005588	NA	-0.0182	2.24	-0.0712	0.944	0.97	-6.87
YPL058C	S000005979	PDR12	0.0113	6.52	0.0712	0.944	0.97	-7.8
YLR199C	S000004189	PBA1	0.00741	5.59	0.0711	0.944	0.97	-7.71
YDR042C	S000002449	NA	0.0364	1.12	0.0739	0.942	0.97	-6.48
YML038C	S000004502	YMD8	-0.00771	5.92	-0.0744	0.941	0.97	-7.78
YGL185C	S000003153	NA	-0.0234	2.25	-0.0742	0.941	0.97	-6.87
YBR091C	S000000295	TIM12	0.0133	3.58	0.0747	0.941	0.97	-7.28
YGR020C	S000003252	VMA7	0.00859	6.52	0.0747	0.941	0.97	-7.84
YKL078W	S000001561	DHR2	-0.0361	2.7	-0.0775	0.939	0.97	-6.33
YNL128W	S000005072	TEP1	-0.0316	1.55	-0.0774	0.939	0.97	-6.65
YER036C	S000000838	ARB1	-0.00729	8.81	-0.0768	0.939	0.97	-7.84
YDR073W	S000002480	SNF11	-0.0151	3.53	-0.0767	0.94	0.97	-7.26
YNL238W	S000005182	KEX2	-0.00681	6.73	-0.0766	0.94	0.97	-7.85
YNL083W	S000005027	SAL1	-0.00948	4.57	-0.0764	0.94	0.97	-7.54
YGR075C	S000003307	PRP38	0.0169	2.7	0.0761	0.94	0.97	-7.02
YCR042C	S000000638	TAF2	0.0114	5.39	0.0761	0.94	0.97	-7.7
YNL005C	S000004950	MRP7	0.00885	6.31	0.076	0.94	0.97	-7.82
YGR186W	S000003418	TFG1	-0.00947	5.98	-0.0783	0.938	0.97	-7.79
YDL012C	S000002170	NA	-0.0163	3.26	-0.0793	0.937	0.96	-7.18
YER153C	S000000955	PET122	-0.0459	0.217	-0.0796	0.937	0.96	-6.25
YDR346C	S000002754	SVF1	-0.00693	6.94	-0.0805	0.937	0.96	-7.84
YOR121C	S000005647	NA	-0.0503	-0.723	-0.0804	0.937	0.96	-6.04
YDL238C	S000002397	GUD1	-0.0208	2.47	-0.0802	0.937	0.96	-6.81
YDR389W	S000002797	SAC7	0.0105	5.71	0.0812	0.936	0.96	-7.75
YGR079W	S000003311	NA	-0.0315	3.01	-0.0818	0.936	0.96	-6.57
YER114C	S000000916	BOI2	0.00895	6.59	0.0826	0.935	0.96	-7.84
YPR166C	S000006370	MRP2	-0.0131	4.42	-0.0834	0.934	0.96	-7.5
YOL083W	S000005443	ATG34	0.0391	0.651	0.0833	0.934	0.96	-6.25
